,sim_id,service,recovery_metric,access_metric,time_step,value
100,0,supermarket,1,mean_quin2,6,1282.78315935194
101,0,supermarket,1,ede_quin2,6,1376.41081422784
102,0,supermarket,1,mean_quin3,6,1669.32695423868
103,0,supermarket,1,ede_quin3,6,1740.79937692227
104,0,supermarket,1,mean_quin4,6,2138.0429679321
105,0,supermarket,1,ede_quin4,6,2219.41988731054
106,0,supermarket,1,mean_quin5,6,3325.47755926861
107,0,supermarket,1,ede_quin5,6,3602.33081538319
108,0,supermarket,1,mean_all,7,1867.56657229681
109,0,supermarket,1,ede_all,7,2253.75180189573
110,0,supermarket,1,mean_quin1,7,834.743791339376
111,0,supermarket,1,ede_quin1,7,933.205665484281
112,0,supermarket,1,mean_quin2,7,1249.81367195989
113,0,supermarket,1,ede_quin2,7,1334.68481831123
114,0,supermarket,1,mean_quin3,7,1658.54743408018
115,0,supermarket,1,ede_quin3,7,1729.21805819462
116,0,supermarket,1,mean_quin4,7,2133.61150885048
117,0,supermarket,1,ede_quin4,7,2213.73709778155
118,0,supermarket,1,mean_quin5,7,3289.77998169833
119,0,supermarket,1,ede_quin5,7,3531.26010474234
120,0,supermarket,1,mean_all,8,1867.56657229681
121,0,supermarket,1,ede_all,8,2253.75180189573
122,0,supermarket,1,mean_quin1,8,834.743791339376
123,0,supermarket,1,ede_quin1,8,933.205665484281
124,0,supermarket,1,mean_quin2,8,1249.81367195989
125,0,supermarket,1,ede_quin2,8,1334.68481831123
126,0,supermarket,1,mean_quin3,8,1658.54743408018
127,0,supermarket,1,ede_quin3,8,1729.21805819462
128,0,supermarket,1,mean_quin4,8,2133.61150885048
129,0,supermarket,1,ede_quin4,8,2213.73709778155
130,0,supermarket,1,mean_quin5,8,3289.77998169833
131,0,supermarket,1,ede_quin5,8,3531.26010474234
132,0,supermarket,1,mean_all,9,1867.56657229681
133,0,supermarket,1,ede_all,9,2253.75180189573
134,0,supermarket,1,mean_quin1,9,834.743791339376
135,0,supermarket,1,ede_quin1,9,933.205665484281
136,0,supermarket,1,mean_quin2,9,1249.81367195989
137,0,supermarket,1,ede_quin2,9,1334.68481831123
138,0,supermarket,1,mean_quin3,9,1658.54743408018
139,0,supermarket,1,ede_quin3,9,1729.21805819462
140,0,supermarket,1,mean_quin4,9,2133.61150885048
141,0,supermarket,1,ede_quin4,9,2213.73709778155
142,0,supermarket,1,mean_quin5,9,3289.77998169833
143,0,supermarket,1,ede_quin5,9,3531.26010474234
144,0,supermarket,1,mean_all,10,1867.53391678382
145,0,supermarket,1,ede_all,10,2253.59026989747
146,0,supermarket,1,mean_quin1,10,834.743791339376
147,0,supermarket,1,ede_quin1,10,933.205665484281
148,0,supermarket,1,mean_quin2,10,1249.81367195989
149,0,supermarket,1,ede_quin2,10,1334.68481831123
150,0,supermarket,1,mean_quin3,10,1658.54743408018
151,0,supermarket,1,ede_quin3,10,1729.21805819462
152,0,supermarket,1,mean_quin4,10,2133.61150885048
153,0,supermarket,1,ede_quin4,10,2213.73709778155
154,0,supermarket,1,mean_quin5,10,3289.60816796868
155,0,supermarket,1,ede_quin5,10,3530.76679578015
156,0,supermarket,1,mean_all,11,1859.30992526101
157,0,supermarket,1,ede_all,11,2248.45261226866
158,0,supermarket,1,mean_quin1,11,821.707918630413
159,0,supermarket,1,ede_quin1,11,920.99849400989
160,0,supermarket,1,mean_quin2,11,1230.11618872085
161,0,supermarket,1,ede_quin2,11,1316.39257385115
162,0,supermarket,1,mean_quin3,11,1652.28330541372
163,0,supermarket,1,ede_quin3,11,1723.57855520818
164,0,supermarket,1,mean_quin4,11,2131.48904118414
165,0,supermarket,1,ede_quin4,11,2211.80885953239
166,0,supermarket,1,mean_quin5,11,3289.60816796868
167,0,supermarket,1,ede_quin5,11,3530.76679578015
168,0,supermarket,1,mean_all,12,1856.6303481217
169,0,supermarket,1,ede_all,12,2247.06205512282
170,0,supermarket,1,mean_quin1,12,811.830665055388
171,0,supermarket,1,ede_quin1,12,912.383294858422
172,0,supermarket,1,mean_quin2,12,1226.93366439431
173,0,supermarket,1,ede_quin2,12,1313.66346472794
174,0,supermarket,1,mean_quin3,12,1651.94909637099
175,0,supermarket,1,ede_quin3,12,1723.29610990332
176,0,supermarket,1,mean_quin4,12,2131.48113051041
177,0,supermarket,1,ede_quin4,12,2211.80201971444
178,0,supermarket,1,mean_quin5,12,3289.60816796868
179,0,supermarket,1,ede_quin5,12,3530.76679578015
180,0,supermarket,1,mean_all,13,1856.6303481217
181,0,supermarket,1,ede_all,13,2247.06205512282
182,0,supermarket,1,mean_quin1,13,811.830665055388
183,0,supermarket,1,ede_quin1,13,912.383294858422
184,0,supermarket,1,mean_quin2,13,1226.93366439431
185,0,supermarket,1,ede_quin2,13,1313.66346472794
186,0,supermarket,1,mean_quin3,13,1651.94909637099
187,0,supermarket,1,ede_quin3,13,1723.29610990332
188,0,supermarket,1,mean_quin4,13,2131.48113051041
189,0,supermarket,1,ede_quin4,13,2211.80201971444
190,0,supermarket,1,mean_quin5,13,3289.60816796868
191,0,supermarket,1,ede_quin5,13,3530.76679578015
192,0,supermarket,1,mean_all,14,1835.23931969963
193,0,supermarket,1,ede_all,14,2224.22191553061
194,0,supermarket,1,mean_quin1,14,787.85656878147
195,0,supermarket,1,ede_quin1,14,874.525862524341
196,0,supermarket,1,mean_quin2,14,1192.32589438779
197,0,supermarket,1,ede_quin2,14,1268.74796858248
198,0,supermarket,1,mean_quin3,14,1633.51720680379
199,0,supermarket,1,ede_quin3,14,1700.06832825704
200,0,supermarket,1,mean_quin4,14,2107.73432119445
201,0,supermarket,1,ede_quin4,14,2184.13835865299
202,0,supermarket,1,mean_quin5,14,3283.08440290793
203,0,supermarket,1,ede_quin5,14,3520.4492303183
204,0,supermarket,1,mean_all,15,1835.23931969963
205,0,supermarket,1,ede_all,15,2224.22191553061
206,0,supermarket,1,mean_quin1,15,787.85656878147
207,0,supermarket,1,ede_quin1,15,874.525862524341
208,0,supermarket,1,mean_quin2,15,1192.32589438779
209,0,supermarket,1,ede_quin2,15,1268.74796858248
210,0,supermarket,1,mean_quin3,15,1633.51720680379
211,0,supermarket,1,ede_quin3,15,1700.06832825704
212,0,supermarket,1,mean_quin4,15,2107.73432119445
213,0,supermarket,1,ede_quin4,15,2184.13835865299
214,0,supermarket,1,mean_quin5,15,3283.08440290793
215,0,supermarket,1,ede_quin5,15,3520.4492303183
216,0,supermarket,1,mean_all,16,1834.0772961587
217,0,supermarket,1,ede_all,16,2223.59340332959
218,0,supermarket,1,mean_quin1,16,784.423185498489
219,0,supermarket,1,ede_quin1,16,871.648796811978
220,0,supermarket,1,mean_quin2,16,1190.98297665135
221,0,supermarket,1,ede_quin2,16,1267.56775489489
222,0,supermarket,1,mean_quin3,16,1632.48190648003
223,0,supermarket,1,ede_quin3,16,1699.1442939218
224,0,supermarket,1,mean_quin4,16,2107.73432119445
225,0,supermarket,1,ede_quin4,16,2184.13835865299
226,0,supermarket,1,mean_quin5,16,3283.08440290793
227,0,supermarket,1,ede_quin5,16,3520.4492303183
228,0,supermarket,1,mean_all,17,1829.9060018262
229,0,supermarket,1,ede_all,17,2219.70901871668
230,0,supermarket,1,mean_quin1,17,784.423185498489
231,0,supermarket,1,ede_quin1,17,871.648796811978
232,0,supermarket,1,mean_quin2,17,1190.5903748179
233,0,supermarket,1,ede_quin2,17,1267.16503696186
234,0,supermarket,1,mean_quin3,17,1628.83461414558
235,0,supermarket,1,ede_quin3,17,1695.5697684296
236,0,supermarket,1,mean_quin4,17,2091.54164720473
237,0,supermarket,1,ede_quin4,17,2168.23942640761
238,0,supermarket,1,mean_quin5,17,3282.42475724865
239,0,supermarket,1,ede_quin5,17,3520.02364967048
240,0,supermarket,1,mean_all,18,1786.41733426093
241,0,supermarket,1,ede_all,18,2181.88820227314
242,0,supermarket,1,mean_quin1,18,748.2566775428
243,0,supermarket,1,ede_quin1,18,826.494867055443
244,0,supermarket,1,mean_quin2,18,1120.72479013578
245,0,supermarket,1,ede_quin2,18,1181.43602660434
246,0,supermarket,1,mean_quin3,18,1559.00346310584
247,0,supermarket,1,ede_quin3,18,1613.04364909643
248,0,supermarket,1,mean_quin4,18,2052.4247443104
249,0,supermarket,1,ede_quin4,18,2128.39946566588
250,0,supermarket,1,mean_quin5,18,3279.82310331972
251,0,supermarket,1,ede_quin5,18,3518.34185571299
252,0,supermarket,1,mean_all,19,1770.99248197552
253,0,supermarket,1,ede_all,19,2171.96818795839
254,0,supermarket,1,mean_quin1,19,687.586308962739
255,0,supermarket,1,ede_quin1,19,758.811723824902
256,0,supermarket,1,mean_quin2,19,1111.3922984056
257,0,supermarket,1,ede_quin2,19,1171.69488180974
258,0,supermarket,1,mean_quin3,19,1552.21784707569
259,0,supermarket,1,ede_quin3,19,1606.29530031889
260,0,supermarket,1,mean_quin4,19,2052.05876350927
261,0,supermarket,1,ede_quin4,19,2127.97262138859
262,0,supermarket,1,mean_quin5,19,3279.82310331972
263,0,supermarket,1,ede_quin5,19,3518.34185571299
264,0,supermarket,1,mean_all,20,1750.06723127539
265,0,supermarket,1,ede_all,20,2128.24588445807
266,0,supermarket,1,mean_quin1,20,668.825740986908
267,0,supermarket,1,ede_quin1,20,739.543362305362
268,0,supermarket,1,mean_quin2,20,1082.91731389893
269,0,supermarket,1,ede_quin2,20,1141.09897738243
270,0,supermarket,1,mean_quin3,20,1539.58145144403
271,0,supermarket,1,ede_quin3,20,1593.53564144279
272,0,supermarket,1,mean_quin4,20,2051.77845925878
273,0,supermarket,1,ede_quin4,20,2127.72626699527
274,0,supermarket,1,mean_quin5,20,3239.15734608802
275,0,supermarket,1,ede_quin5,20,3436.69679502186
276,0,supermarket,1,mean_all,21,1748.3019387691
277,0,supermarket,1,ede_all,21,2126.48551465844
278,0,supermarket,1,mean_quin1,21,668.466772205438
279,0,supermarket,1,ede_quin1,21,738.852759619403
280,0,supermarket,1,mean_quin2,21,1080.78930275983
281,0,supermarket,1,ede_quin2,21,1137.71770508488
282,0,supermarket,1,mean_quin3,21,1535.23778490086
283,0,supermarket,1,ede_quin3,21,1588.26276398183
284,0,supermarket,1,mean_quin4,21,2049.78217903909
285,0,supermarket,1,ede_quin4,21,2125.72182205878
286,0,supermarket,1,mean_quin5,21,3239.15734608802
287,0,supermarket,1,ede_quin5,21,3436.69679502186
288,0,supermarket,1,mean_all,22,1746.55947668211
289,0,supermarket,1,ede_all,22,2124.02818485292
290,0,supermarket,1,mean_quin1,22,668.466772205438
291,0,supermarket,1,ede_quin1,22,738.852759619403
292,0,supermarket,1,mean_quin2,22,1080.78930275983
293,0,supermarket,1,ede_quin2,22,1137.71770508488
294,0,supermarket,1,mean_quin3,22,1534.62272039045
295,0,supermarket,1,ede_quin3,22,1587.60534411567
296,0,supermarket,1,mean_quin4,22,2047.54268848551
297,0,supermarket,1,ede_quin4,22,2123.38386355997
298,0,supermarket,1,mean_quin5,22,3232.9928648896
299,0,supermarket,1,ede_quin5,22,3431.01510156804
300,0,supermarket,1,mean_all,23,1740.83295537079
301,0,supermarket,1,ede_all,23,2119.55044787368
302,0,supermarket,1,mean_quin1,23,660.217211681772
303,0,supermarket,1,ede_quin1,23,727.777892538484
304,0,supermarket,1,mean_quin2,23,1072.02126650945
305,0,supermarket,1,ede_quin2,23,1127.6543909578
306,0,supermarket,1,mean_quin3,23,1525.3091313242
307,0,supermarket,1,ede_quin3,23,1578.15637593965
308,0,supermarket,1,mean_quin4,23,2045.23837035128
309,0,supermarket,1,ede_quin4,23,2121.2398726115
310,0,supermarket,1,mean_quin5,23,3232.9928648896
311,0,supermarket,1,ede_quin5,23,3431.01510156804
312,0,supermarket,1,mean_all,24,1740.83295537079
313,0,supermarket,1,ede_all,24,2119.55044787368
314,0,supermarket,1,mean_quin1,24,660.217211681772
315,0,supermarket,1,ede_quin1,24,727.777892538484
316,0,supermarket,1,mean_quin2,24,1072.02126650945
317,0,supermarket,1,ede_quin2,24,1127.6543909578
318,0,supermarket,1,mean_quin3,24,1525.3091313242
319,0,supermarket,1,ede_quin3,24,1578.15637593965
320,0,supermarket,1,mean_quin4,24,2045.23837035128
321,0,supermarket,1,ede_quin4,24,2121.2398726115
322,0,supermarket,1,mean_quin5,24,3232.9928648896
323,0,supermarket,1,ede_quin5,24,3431.01510156804
324,0,supermarket,1,mean_all,25,1734.11544702485
325,0,supermarket,1,ede_all,25,2115.13069776234
326,0,supermarket,1,mean_quin1,25,632.724797583082
327,0,supermarket,1,ede_quin1,25,698.778515448494
328,0,supermarket,1,mean_quin2,25,1069.4693851763
329,0,supermarket,1,ede_quin2,25,1124.82627861439
330,0,supermarket,1,mean_quin3,25,1523.70182497624
331,0,supermarket,1,ede_quin3,25,1576.20604573343
332,0,supermarket,1,mean_quin4,25,2043.60868780904
333,0,supermarket,1,ede_quin4,25,2119.02599635761
334,0,supermarket,1,mean_quin5,25,3232.65551930996
335,0,supermarket,1,ede_quin5,25,3430.69122053119
336,0,supermarket,1,mean_all,26,1714.87292068262
337,0,supermarket,1,ede_all,26,2098.29426179091
338,0,supermarket,1,mean_quin1,26,597.800288418932
339,0,supermarket,1,ede_quin1,26,662.30938875957
340,0,supermarket,1,mean_quin2,26,1052.72643363622
341,0,supermarket,1,ede_quin2,26,1107.41022589021
342,0,supermarket,1,mean_quin3,26,1507.13139506789
343,0,supermarket,1,ede_quin3,26,1558.93242640802
344,0,supermarket,1,mean_quin4,26,2033.89676260731
345,0,supermarket,1,ede_quin4,26,2109.24699891219
346,0,supermarket,1,mean_quin5,26,3213.42063428852
347,0,supermarket,1,ede_quin5,26,3413.0438148253
348,0,supermarket,1,mean_all,27,1714.87292068262
349,0,supermarket,1,ede_all,27,2098.29426179091
350,0,supermarket,1,mean_quin1,27,597.800288418932
351,0,supermarket,1,ede_quin1,27,662.30938875957
352,0,supermarket,1,mean_quin2,27,1052.72643363622
