geoid,baseline_distance,raw_distance,change_distance
245100103002003,551.1,1561.4,1010.3000000000001
245100103002004,529.0,1659.8,1130.8
245100103002005,481.7,1739.8,1258.1
245100103002006,516.3,1795.9,1279.6000000000001
245100103002007,543.9,1881.0,1337.1
245100103002008,603.1,1820.6,1217.5
245100103002009,633.7,1757.9,1124.2
245100103002010,606.2,1618.1,1011.8999999999999
245100103002011,668.6,1555.6,886.9999999999999
245100103002012,684.1,1777.3,1093.1999999999998
245100103002013,553.4,1572.7,1019.3000000000001
245100103002014,495.7,1512.3,1016.5999999999999
245100103002015,440.4,1683.9,1243.5
245100103002016,485.1,1745.5,1260.4
245100103002017,544.4,1806.7,1262.3000000000002
245100103002018,521.7,1869.0,1347.3
245100103002019,579.9,1863.5,1283.6
245100103002020,517.7,1873.0,1355.3
245100104001000,401.1,1577.8,1176.6999999999998
245100104001001,341.8,1581.2,1239.4
245100104001002,344.4,1647.8,1303.4
245100104001003,303.1,1701.0,1397.9
245100104001004,301.8,1767.7,1465.9
245100104001005,349.3,1822.1,1472.8
245100104001006,405.2,1883.1,1477.8999999999999
245100104001007,414.2,1892.1,1477.8999999999999
245100104001008,226.2,1704.1,1477.8999999999999
245100104001009,128.5,1632.5,1504.0
245100104001010,196.5,1566.0,1369.5
245100104001011,234.5,1529.7,1295.2
245100104001012,312.3,1450.2,1137.9
245100104001013,266.1,1384.4,1118.3000000000002
245100104001014,187.1,1462.0,1274.9
245100104001015,3.2,1566.9,1563.7
245100104001016,95.9,1484.7,1388.8
245100104001017,208.5,1355.7,1147.2
245100104001018,249.7,1340.9,1091.2
245100104001019,278.7,1329.8,1051.1
245100104001020,327.2,1297.7,970.5
245100104001021,196.8,1366.9,1170.1000000000001
245100104002000,368.6,1744.7,1376.1
245100104002001,303.6,1809.7,1506.1
245100104002002,270.3,1952.2,1681.9
245100104002003,216.8,2003.3,1786.5
245100104002004,342.1,2080.6,1738.5
245100104002005,382.5,2103.9,1721.4
245100104002006,433.6,1867.9,1434.3000000000002
245100104002007,507.9,1881.3,1373.4
245100104002008,506.6,1880.1,1373.5
245100104002009,449.5,2010.1,1560.6
245100104002010,466.3,1993.2,1526.9
245100104002011,434.7,2069.9,1635.2
245100104002012,499.0,2049.3,1550.3000000000002
245100104002013,534.4,1935.6,1401.1999999999998
245100104002014,571.5,1946.6,1375.1
245100104002015,496.6,1974.5,1477.9
245100104002016,563.7,2003.9,1440.2
245100104002017,534.7,2012.6,1477.8999999999999
245100104002018,336.1,1804.7,1468.6
245100104002019,685.1,1722.7,1037.6
245100104002020,456.1,2177.8,1721.7000000000003
245100104002021,325.9,2151.9,1826.0
245100104002022,341.6,1810.2,1468.6
245100104002023,569.3,2037.9,1468.6000000000001
245100104002024,404.3,1346.2,941.9000000000001
245100104002025,615.3,1179.9,564.6000000000001
245100105001000,847.4,1954.2,1106.8000000000002
245100105001001,703.5,2097.6,1394.1
245100105001002,662.3,2116.9,1454.6000000000001
245100105001003,536.2,2085.1,1548.8999999999999
245100105001004,587.6,2035.0,1447.4
245100105001005,660.5,2026.1,1365.6
245100105001006,726.4,1973.5,1247.1
245100105001007,756.5,1935.9,1179.4
245100105001008,664.7,1950.5,1285.8
245100105001009,671.8,1982.5,1310.7
245100105001010,367.7,2131.5,1763.8
245100105001011,420.8,2079.1,1658.3
245100105002000,542.5,1958.6,1416.1
245100105002001,541.1,1960.2,1419.1
