geoid,baseline_distance,raw_distance,change_distance
245100103002000,659.0,1072.9,413.9000000000001
245100103002001,700.8,1000.1,299.30000000000007
245100103002002,668.8,968.6,299.80000000000007
245100103002003,551.1,850.8,299.69999999999993
245100103002004,529.0,862.5,333.5
245100103002005,481.7,819.6,337.90000000000003
245100103002006,516.3,876.8,360.5
245100103002007,543.9,904.4,360.5
245100103002008,603.1,963.1,360.0
245100103002009,633.7,991.2,357.5
245100103002010,606.2,908.2,302.0
245100103002011,668.6,968.3,299.69999999999993
245100103002012,684.1,1133.9,449.80000000000007
245100103002013,553.4,1175.2,621.8000000000001
245100103002014,495.7,1195.3,699.5999999999999
245100103002015,440.4,1259.4,819.0000000000001
245100103002016,485.1,1196.3,711.1999999999999
245100103002017,544.4,1135.9,591.5000000000001
245100103002018,521.7,1072.4,550.7
245100103002019,579.9,1009.7,429.80000000000007
245100103002020,517.7,1076.4,558.7
245100104001000,401.1,1579.1,1178.0
245100104001001,341.8,1524.3,1182.5
245100104001002,344.4,1457.4,1113.0
245100104001003,303.1,1404.7,1101.6
245100104001004,301.8,1338.7,1036.9
245100104001005,349.3,1282.1,932.8
245100104001006,405.2,1214.7,809.5
245100104001007,414.2,1159.1,744.8999999999999
245100104001008,226.2,1305.3,1079.1
245100104001009,128.5,1447.6,1319.1
245100104001010,196.5,1518.8,1322.3
245100104001011,234.5,1554.0,1319.5
245100104001012,312.3,1631.9,1319.6000000000001
245100104001013,266.1,1658.1,1392.0
245100104001014,187.1,1579.1,1392.0
245100104001015,3.2,1462.4,1459.2
245100104001016,95.9,1556.2,1460.3
245100104001017,208.5,1668.1,1459.6
245100104001018,249.7,1647.4,1397.7
245100104001019,278.7,1717.4,1438.7
245100104001020,327.2,1708.1,1380.8999999999999
245100104001021,196.8,1573.5,1376.7
245100104002000,368.6,706.2,337.6
245100104002001,303.6,641.5,337.9
245100104002002,270.3,609.2,338.90000000000003
245100104002003,216.8,557.0,340.2
245100104002004,342.1,707.3,365.19999999999993
245100104002005,382.5,747.7,365.20000000000005
245100104002006,433.6,771.4,337.79999999999995
245100104002007,507.9,869.2,361.30000000000007
245100104002008,506.6,867.9,361.29999999999995
245100104002009,449.5,812.8,363.29999999999995
245100104002010,466.3,829.6,363.3
245100104002011,434.7,799.8,365.09999999999997
245100104002012,499.0,864.2,365.20000000000005
245100104002013,534.4,897.7,363.30000000000007
245100104002014,571.5,961.6,390.1
245100104002015,496.6,1127.9,631.3000000000001
245100104002016,563.7,1024.7,461.0
245100104002017,534.7,927.8,393.0999999999999
245100104002018,336.1,1181.0,844.9
245100104002019,685.1,1928.4,1243.3000000000002
245100104002020,456.1,821.3,365.19999999999993
245100104002021,325.9,691.0,365.1
245100104002022,341.6,1132.4,790.8000000000001
245100104002023,569.3,1033.9,464.60000000000014
